Player,Tm,Season,Class,Offensive Points Added,Defensive Points Saved,TPA
Mo Alie-Cox,Virginia Commonwealth,2016,JR,51.84,108.54,160.38
Bruce Brown,Miami (FL),2017,FR,75.06,85.29,160.35
Joe Harris,Virginia,2014,SR,104.96,54.98,159.94
Jeremy Lamb,Connecticut,2011,FR,99.4,60.42,159.82
Kevin Pangos,Gonzaga,2013,SO,118.31,41.32,159.63
Derek Willis,Kentucky,2017,SR,68.17,91.41,159.58
Seth Curry,Duke,2011,SO,104.64,54.81,159.45
Trevor Releford,Alabama,2013,JR,121.34,38.03,159.37
Reggie Hamilton,Oakland,2012,SR,226.18,-66.93,159.25
Jordan Bell,Oregon,2015,FR,23.36,135.78,159.14
William Buford,Ohio State,2012,SR,82.92,76.19,159.11
Justin Robinson,Monmouth,2016,FR,137.8,21.2,159
Jordan Mathews,Gonzaga,2017,SR,96.87,62,158.87
Matt Thomas,Iowa State,2017,SR,122.34,36.32,158.66
Sheldon McClellan,Miami (FL),2015,JR,123.07,35.46,158.53
Elfrid Payton,Louisiana-Lafayette,2014,JR,109.51,48.93,158.44
A.J. Hammons,Purdue,2016,SR,51.45,106.97,158.42
Kevon Looney,UCLA,2015,FR,81.1,77.24,158.34
Austin Hollins,Minnesota,2013,JR,111.62,46.65,158.27
Anthony Brown,Stanford,2015,SR,115.11,42.88,157.99
Arsalan Kazemi,Rice,2012,JR,61.13,96.79,157.92
Kendrick Perry,Youngstown State,2014,SR,166.08,-8.3,157.78
Robert Carter,Maryland,2016,JR,78.1,79.61,157.71
Jeremy Lamb,Connecticut,2012,SO,140.83,16.82,157.65
Khalif Wyatt,Temple,2012,JR,136.12,21.49,157.61
Stephan Van Treese,Louisville,2014,SR,49.14,108.11,157.25
Jared Berggren,Wisconsin,2013,SR,50.82,106.4,157.22
Kyle Singler,Duke,2011,SR,106.35,50.86,157.21
Kent Bazemore,Old Dominion,2011,JR,69.53,87.32,156.85
Pascal Siakam,New Mexico State,2016,SO,68.6,88.2,156.8
Chase Tapley,San Diego State,2012,JR,99.2,57.54,156.74
Moses Kingsley,Arkansas,2016,SO,52.8,103.84,156.64
Kyle Collinsworth,Brigham Young,2014,SO,73.88,82.57,156.45
Mickey McConnell,Saint Mary's (CA),2011,SR,169.3,-12.86,156.44
JeQuan Lewis,Virginia Commonwealth,2017,SR,126.21,30.14,156.35
Jordan Campbell,Belmont,2011,SR,104.6,51.64,156.24
Jason Calliste,Oregon,2014,SR,146.32,9.86,156.18
Kadeem Allen,Arizona,2017,SR,56.63,99.54,156.17
John Jenkins,Vanderbilt,2011,SO,169.66,-13.5,156.16
Shake Milton,Southern Methodist,2017,SO,110.49,45.38,155.87
D.J. Newbill,Penn State,2015,SR,133.86,21.59,155.45
John Brown,High Point,2016,SR,105.52,49.91,155.43
D'Vauntes Smith-Rivera,Georgetown,2014,SO,149.42,5.9,155.32
Cory Joseph,Texas,2011,FR,79.68,75.59,155.27
Jawun Evans,Oklahoma State,2017,SO,131.17,23.85,155.02
Domantas Sabonis,Gonzaga,2016,SO,91.15,63.81,154.96
Fuquan Edwin,Seton Hall,2012,SO,54.24,100.72,154.96
Robert Covington,Tennessee State,2012,JR,116.03,38.68,154.71
