Player,Tm,Season,Class,Offensive Points Added,Defensive Points Saved,TPA
Isaiah Washington,Penn State,2016,FR,-25.56,-1.74,-27.3
Phillip Jones,Texas-San Antonio,2014,FR,-37.8,10.5,-27.3
Treg Setty,Southern Illinois,2012,FR,-25.59,-1.71,-27.3
Trevone Williams,Cal State Northridge,2013,SO,-17.85,-9.45,-27.3
Myles Cherry,Lafayette,2017,FR,-33.55,6.24,-27.31
Michael Holyfield,Sam Houston State,2012,FR,-39.96,12.65,-27.31
Kenny Stewart,Eastern Michigan,2011,SO,-25.12,-2.2,-27.32
Rene Castro,Duquesne,2016,SO,-18.06,-9.27,-27.33
Phil Guglielmo,Navy,2013,FR,-13.67,-13.67,-27.34
Raasean Davis,Kent State,2016,SO,-17.75,-9.59,-27.34
Abdoulaye Harouna,Miami (OH),2016,SO,-27.35,0,-27.35
Adam Savion,Hofstra,2013,FR,-23.85,-3.5,-27.35
Deji Adekunle,Northwestern State,2015,JR,-17.56,-9.8,-27.36
Trey Washington III,Wyoming,2016,SO,-23.84,-3.53,-27.37
Monty Brown,Mercer,2012,SO,-25.16,-2.22,-27.38
Jamail Jones,Florida Gulf Coast,2015,SR,-10.27,-17.12,-27.39
Josh Piper,Eastern Illinois,2014,JR,-17.35,-10.04,-27.39
Antione Lundy,South Alabama,2011,SR,-16,-11.4,-27.4
Ash Yacoubou,Saint Louis,2015,JR,-34.25,6.85,-27.4
Darryl Felder,North Carolina-Wilmington,2011,SR,-24.11,-3.29,-27.4
Garrett Frick,NJIT,2012,FR,-17.73,-9.67,-27.4
Jacob Iati,Albany (NY),2011,SO,-11.56,-15.84,-27.4
Andre Smith,Winthrop,2015,SR,17.13,-44.54,-27.41
Jamie Stewart,Montana State,2013,SR,-12.46,-14.95,-27.41
Luka Radovic,South Carolina State,2016,SR,-22.61,-4.81,-27.42
Tyler Strange,Gardner-Webb,2013,SO,-34.28,6.86,-27.42
Arthur Capers,Alabama A&M,2013,JR,-18.15,-9.28,-27.43
Charles Taylor,Maryland-Baltimore County,2015,SO,-21.59,-5.84,-27.43
Trent Rogers,Tulane,2012,SR,-22.35,-5.08,-27.43
Miguel Dicent,Morehead State,2017,JR,1.71,-29.14,-27.43
Lamontray Harris,Morehead State,2017,SO,-19.3,-8.13,-27.43
Lavonne Davis,Prairie View,2017,FR,-17.68,-9.76,-27.44
Brian Richardson,South Carolina,2012,SO,-10.29,-17.15,-27.44
Nick Mcfarlin,Eastern Illinois,2012,SR,-17.84,-9.6,-27.44
Austin White,High Point,2015,FR,-13.38,-14.08,-27.46
Brian Bernardi,Southern Methodist,2013,FR,-2.86,-24.6,-27.46
Josh Greene,Cal State Northridge,2012,SO,28.9,-56.36,-27.46
Kendrix Brown,William & Mary,2011,JR,-42.24,14.78,-27.46
Kyle Bullinger,Weber State,2012,SR,-18.94,-8.52,-27.46
Tavrion Dawson,Cal State Northridge,2016,FR,-7.23,-20.24,-27.47
Breein Tyree,Mississippi,2017,FR,-19.11,-8.36,-27.47
Cane Broome,Sacred Heart,2015,FR,14.66,-42.14,-27.48
Donald Qualls,Grambling,2011,SR,20.6,-48.08,-27.48
Walter Davis,Florida A&M,2013,JR,-50.38,22.9,-27.48
Collin Jennings,Missouri-Kansas City,2015,FR,-9.66,-17.83,-27.49
John Simons,Central Michigan,2014,SO,30.72,-58.21,-27.49
Darrious Hamilton,Utah Valley,2016,SR,-19.8,-7.7,-27.5
Emmanuel Ndumanya,Santa Clara,2016,SO,-37.37,9.87,-27.5
Brandon Sherrod,Yale,2012,FR,-28.17,0.66,-27.51
Calvin Thompson,Howard,2013,SR,-14.09,-13.42,-27.51
Jacob Arnett,Lipscomb,2012,JR,-8.09,-19.42,-27.51
Ryan Sypkens,UC-Davis,2011,SO,18.34,-45.85,-27.51
Gavin Ware,Mississippi State,2013,FR,-24.62,-2.9,-27.52
Nemanja Zarkovic,Fordham,2016,SO,-19.93,-7.59,-27.52
Aaron Wright,UC-Irvine,2013,FR,-23.98,-3.55,-27.53
Anthony Johnson,Eastern Illinois,2014,FR,-19.25,-8.28,-27.53
John Golden,Dartmouth,2012,FR,-15.73,-11.8,-27.53
Rashaan Surles,Prairie View,2014,FR,-19.84,-7.69,-27.53
Stephan Holm,Montana State,2016,JR,-2.43,-25.11,-27.54
Derrick Randall,Pittsburgh,2015,SR,-12.43,-15.12,-27.55
John Puk,Albany (NY),2013,JR,-37.14,9.58,-27.56
Ross Travis,Penn State,2013,SO,-43.77,16.21,-27.56
Shaun Lawton,Maine,2016,SR,-26.36,-1.2,-27.56
Alex Hicks,Troy,2017,SO,-36.43,8.86,-27.57
Kimar Williams,Florida International,2017,SO,-17.62,-9.96,-27.58
Alexsander Milosavljevic,Abilene Christian,2014,JR,-17.3,-10.29,-27.59
K.J. Malveau,Texas State,2016,FR,-22.57,-5.02,-27.59
Tyler Blount,Texas State,2017,JR,-7.81,-19.79,-27.6
Brian Dawkins,Elon,2016,SO,-26.25,-1.35,-27.6
Mike Stovall,DePaul,2011,SR,-15.77,-11.83,-27.6
Nolan Gerrity,Maryland-Baltimore County,2016,FR,-16,-11.6,-27.6
Shannon Hale,Alabama,2016,JR,-12.65,-14.95,-27.6
DJ Clayton,Western Kentucky,2015,FR,-21.11,-6.5,-27.61
Tanner Wozniak,Kennesaw State,2015,SR,-19.49,-8.12,-27.61
Tyler Corley,Mississippi Valley State,2015,JR,-13.4,-14.21,-27.61
Zac Swansey,Tennessee Tech,2011,JR,-15.78,-11.83,-27.61
Bernard Sullivan,Clemson,2012,FR,-24.55,-3.07,-27.62
Lincoln Davis,Lamar,2017,SR,-11.18,-16.44,-27.62
Rayvon Harris,Niagara,2014,SO,-18.42,-9.21,-27.63
Jalin Thomas,Central Michigan,2011,SR,34.15,-61.79,-27.64
Khalil Murphy,Long Island University,2013,SO,-17.98,-9.66,-27.64
Zach Mills,Sacramento State,2015,SR,1.06,-28.7,-27.64
Trevis Jackson,Sacramento State,2017,SR,-8.58,-19.06,-27.64
Antonius Cleveland,Southeast Missouri State,2014,FR,-5.27,-22.39,-27.66
Brandon Hayman,Samford,2012,FR,-9.06,-18.6,-27.66
Ilker Er,Maine,2017,JR,-2.62,-25.04,-27.66
JoJo McGlaston,Utah State,2015,SO,-36.18,8.51,-27.67
Adonis Rwabigwi,Texas-Rio Grande Valley,2017,JR,-25.8,-1.88,-27.68
Daouda Berete,Central Arkansas,2013,FR,-13.4,-14.29,-27.69
Evin Graham,Jacksonville,2013,SO,-25.17,-2.52,-27.69
Jordan Springer,Army,2012,JR,-29.54,1.85,-27.69
Wes Eikmeier,Colorado State,2012,JR,27.7,-55.39,-27.69
Kenzo Nudo,Grand Canyon,2017,FR,-21.03,-6.66,-27.69
David Samuels,Long Beach State,2014,JR,-36.93,9.23,-27.7
Devonta White,Georgia State,2013,JR,27.71,-55.41,-27.7
Mark Cisco,Columbia,2013,SR,-28.73,1.03,-27.7
Matthew Owies,Hawaii,2017,FR,-25.57,-2.13,-27.7
Alex Ogundadegbe,Binghamton,2014,SR,-30.33,2.62,-27.71
Amos Olatayo,Louisiana-Monroe,2013,JR,6.03,-33.74,-27.71
E. Victor Nickerson,Charlotte,2012,FR,-41.12,13.41,-27.71
Dante Bailey,Tennessee-Martin,2017,JR,-8.59,-19.12,-27.71
Kyle Haber,Brown,2016,SO,-18.83,-8.89,-27.72
Lukas Poderis,East Tennessee State,2014,SR,-31.88,4.16,-27.72
Antwon Portley,Saint Peter's,2017,SO,-33.88,6.16,-27.72
Brian Brown,Virginia Military Institute,2012,FR,-11.68,-16.06,-27.74
Trey Dickerson,South Dakota,2017,JR,-1.39,-26.35,-27.74
Christopher Ikuenobe,Texas-Rio Grande Valley,2016,JR,-18.62,-9.13,-27.75
Daiquan Walker,Central Florida,2014,SO,-10.02,-17.73,-27.75
Greg Malinowski,William & Mary,2015,FR,-3.58,-24.17,-27.75
Kirk Korver,Missouri-Kansas City,2012,SO,0,-27.76,-27.76
Damien Leonard,South Carolina,2013,SO,-12.82,-14.95,-27.77
Nick Colletta,Marist,2015,FR,-14.98,-12.79,-27.77
Devin Liggeons,Wagner,2017,SO,-26.59,-1.18,-27.77
Jordan Tyson,St. Bonaventure,2016,FR,-41.99,14.21,-27.78
Mathias Ward,Montana,2011,SO,-16.91,-10.87,-27.78
Sam Daly,Grand Canyon,2014,FR,-21.32,-6.46,-27.78
Alex Fountain,Houston Baptist,2014,FR,-24.49,-3.3,-27.79
Jalen Steele,Mississippi State,2013,JR,-8.42,-19.37,-27.79
Colter Lasher,Houston Baptist,2016,JR,-8.78,-19.02,-27.8
Desharick Guidry,McNeese State,2012,FR,-20.02,-7.78,-27.8
Ishaq Pitt,Maryland-Eastern Shore,2015,SR,-26.41,-1.39,-27.8
Ka'Darryl Bell,Bradley,2014,SO,-43.26,15.45,-27.81
Devin Harris,Jacksonville,2017,JR,-24.18,-3.63,-27.81
Bryant Mbamalu,Louisiana-Lafayette,2012,SO,-30.6,2.78,-27.82
Terel Hall,Savannah State,2015,SR,-9.74,-18.08,-27.82
Chase Simon,Detroit Mercy,2011,JR,0,-27.83,-27.83
Kyle Kelm,Milwaukee,2013,JR,-15.27,-12.57,-27.84
Adjehi Baru,College of Charleston,2015,SR,-41.11,13.26,-27.85
Erik Nissen,Maine,2015,SO,-23.88,-3.98,-27.86
Lucas Troutman,Elon,2014,SR,-43.34,15.48,-27.86
Darius Graham,UC-Davis,2013,FR,-18.83,-9.04,-27.87
Chris Matagrano,New Hampshire,2011,SO,-25.56,-2.32,-27.88
Keith Manley,Gardner-Webb,2011,SO,-21.77,-6.11,-27.88
Donovan Smith,Quinnipiac,2016,JR,-72.31,44.42,-27.89
Shane McLaughlin,Bryant,2013,FR,-26.56,-1.33,-27.89
Jack Shaughnessy,Seattle,2017,SO,-25.33,-2.58,-27.91
Brian Johnson,Delaware,2011,SR,-7.61,-20.3,-27.91
Johnny O'Bryant,Louisiana State,2012,FR,-42.39,14.48,-27.91
Kyle Noreen,Radford,2013,SO,-30.85,2.94,-27.91
De'Angelo Bruster,Western Illinois,2016,FR,-22.23,-5.69,-27.92
Jamal Shabazz,Samford,2015,JR,-28.6,0.68,-27.92
Stetson Billings,Arkansas-Little Rock,2013,FR,-26.13,-1.79,-27.92
Gunnar Olafsson,St. Francis (NY),2015,FR,-21.61,-6.32,-27.93
J.L. Lewis,Louisiana Tech,2012,JR,-28.86,0.93,-27.93
Joel Vander Pol,Liberty,2011,FR,-30.32,2.39,-27.93
Julian Norfleet,Mount St. Mary's,2012,SO,12.22,-40.16,-27.94
Antuan Bootle,Sam Houston State,2012,SR,-31.19,3.24,-27.95
Clarke Overlander,North Texas,2013,FR,-15.97,-11.98,-27.95
Mykel Harris,Monmouth,2012,FR,-19.46,-8.49,-27.95
Aziz Seck,Northern Arizona,2017,FR,-25.8,-2.15,-27.95
Jahmal McMurray,South Florida,2016,FR,25.96,-53.92,-27.96
Egor Koulechov,Rice,2016,SO,49.95,-77.92,-27.97
Kevin Hill,New Orleans,2014,SO,-26.97,-1,-27.97
Rashad Andrews,Southern,2016,SO,-17.85,-10.12,-27.97
Brandon Hollins,Portland State,2017,JR,-17.09,-10.88,-27.97
Alex Ramon,Colgate,2016,SR,-10.49,-17.49,-27.98
Kenyon McNeaill,Louisiana Tech,2011,FR,-31.27,3.29,-27.98
Raymoan McAfee,Bethune-Cookman,2011,FR,-21.05,-6.93,-27.98
Michael Harvey,Portland State,2013,SR,-8.98,-19.01,-27.99
Darraja Parnell,Central Arkansas,2017,FR,-8,-19.99,-27.99
Jesse Love,Jackson State,2017,FR,-21.77,-6.22,-27.99
Naiel Smith,Texas State,2014,FR,-40.21,12.21,-28
Angel Nunez,South Florida,2016,SR,-39.55,11.54,-28.01
Ugo Mmonu,Charleston Southern,2016,JR,-15.8,-12.21,-28.01
Kyle Steward,Missouri-Kansas City,2017,SR,-8.75,-19.26,-28.01
Chris Bolden,Georgia Tech,2014,SO,-31.67,3.65,-28.02
Tahj Eaddy,Southeast Missouri State,2017,FR,-5.84,-22.18,-28.02
Asad Lamot,North Carolina-Greensboro,2016,SR,-8.92,-19.11,-28.03
Danny Robison,Montana State,2016,SR,-8.53,-19.5,-28.03
David Booker,Tulane,2011,SR,-10.09,-17.94,-28.03
George Goode,Fairleigh Dickinson,2012,SR,-21.8,-6.23,-28.03
D.J. Fenner,Nevada,2014,FR,-36.61,8.57,-28.04
Greg Louis,Pennsylvania,2013,SO,-28.04,0,-28.04
Jordan Stevens,Holy Cross,2013,SR,-19.63,-8.41,-28.04
Lawrence Smith,North Carolina A&T,2013,SR,-24.26,-3.78,-28.04
Max Guercy,Rice,2014,SO,-7.79,-20.25,-28.04
Melvin Tabb,Kent State,2014,SR,-18.5,-9.54,-28.04
Alonzo Traylor,North Dakota,2013,JR,-11.63,-16.42,-28.05
Arkadiy Mkrtychyan,Idaho,2015,FR,6.73,-34.78,-28.05
Ian Francis,Alcorn State,2013,SR,-59.47,31.42,-28.05
Pierre Sneed,Ball State,2011,JR,-24.93,-3.12,-28.05
Josh Gray,Louisiana State,2015,JR,-28.06,0,-28.06
Joshua Phillips,Middle Tennessee,2016,JR,-24.74,-3.32,-28.06
Nick Kitcoff,IUPUI,2013,SR,-16.59,-11.47,-28.06
Rayshaun McGrew,Stony Brook,2016,SR,-35.45,7.39,-28.06
Keifer Sykes,Green Bay,2012,FR,1.48,-29.56,-28.08
Stephan Hicks,Cal State Northridge,2012,FR,20.69,-48.77,-28.08
Dominique Matthews,Illinois-Chicago,2017,FR,9.83,-37.91,-28.08
Xzavier Taylor,Bradley,2015,SO,-26.73,-1.36,-28.09
Frank Ryder,San Diego,2017,FR,-19.28,-8.81,-28.09
Antino Jackson,Akron,2015,FR,-15.06,-13.05,-28.11
Jaelyn Johnson-Coston,Weber State,2015,JR,-25.1,-3.01,-28.11
Leonard Hayes,Stony Brook,2012,JR,-12.85,-15.26,-28.11
Marquis Cunningham,Arkansas-Pine Bluff,2016,JR,-39.19,11.08,-28.11
Terrell Allen,Central Connecticut State,2012,SO,-28.72,0.61,-28.11
Khailil Richard,Siena,2017,FR,-13.03,-15.09,-28.12
Maurice Wiltz,Southern Illinois-Edwardsville,2015,SR,-13.32,-14.8,-28.12
Morakinyo Williams,Citadel,2011,SR,-21.54,-6.59,-28.13
Travis King,Maryland-Baltimore County,2011,SR,24.46,-52.59,-28.13
Anthony Taylor,Longwood,2013,SO,-17.08,-11.06,-28.14
Jesse Berry,Ball State,2011,FR,11.51,-39.65,-28.14
Donte Morales,North Carolina-Wilmington,2012,SO,-18.77,-9.38,-28.15
Nick Hornsby,Sacramento State,2016,JR,-57.8,29.64,-28.16
Cortez Seales,North Dakota,2017,SO,-32.4,4.23,-28.17
Adam Thoseby,Utah State,2012,FR,-20.86,-7.32,-28.18
Malcolm Herron,Eastern Illinois,2012,JR,-19.25,-8.93,-28.18
Malik Thames,UC-Riverside,2017,SR,-26.01,-2.17,-28.18
Tom Vodanovich,James Madison,2017,SR,-32.08,3.89,-28.19
Jonathan Jean,Furman,2016,FR,-20.57,-7.62,-28.19
Chad Johnson,Colgate,2014,SR,-16.04,-12.17,-28.21
Alex Tucker,Florida Atlantic,2011,JR,-12.7,-15.52,-28.22
Michael Ochereobia,Western Illinois,2013,JR,-25.36,-2.86,-28.22
Tony Nixon,Northern Illinois,2012,JR,-9.41,-18.81,-28.22
Dathan Lyles,Cal State Northridge,2011,SR,-19.25,-8.98,-28.23
Kevin Dukes,Bethune-Cookman,2013,SR,38.3,-66.53,-28.23
Chivarsky Corbett,Delaware,2017,SO,-5.13,-23.1,-28.23
Darion Rackley,Jacksonville State,2015,SR,6.28,-34.52,-28.24
Isaiah Cotton,Alabama A&M,2015,JR,-30.36,2.12,-28.24
Eyassu Worku,UC-Irvine,2017,FR,-36.84,8.6,-28.24
Keith McDougald,Jacksonville,2012,SO,4.28,-32.53,-28.25
Atif Russell,Pepperdine,2013,FR,-20.72,-7.54,-28.26
Brett Bailey,San Diego,2016,JR,-34.41,6.15,-28.26
Trumaine Johnson,Houston,2011,JR,-20.78,-7.48,-28.26
Curtis Oakley,Bryant,2015,JR,-13.22,-15.05,-28.27
Wayne Martin,St. Francis (NY),2014,FR,-60.19,31.92,-28.27
Patrick Muldoon,Eastern Illinois,2017,SO,-41.41,13.13,-28.28
Andrew Drone,Rice,2016,JR,-6.79,-21.49,-28.28
Austin Allen,Arkansas-Pine Bluff,2012,SO,-16.11,-12.17,-28.28
Drake Thomas,Southern Utah,2013,FR,-21.58,-6.7,-28.28
George Thomas,Alcorn State,2014,SO,-21.28,-7,-28.28
Josh Brinkley,Delaware,2011,SO,-22.48,-5.8,-28.28
Manny Ochenje,Pepperdine,2012,FR,-19.58,-8.7,-28.28
Michael Bradley,Samford,2015,SR,-20.67,-7.62,-28.29
Parker U'u,Hartford,2013,FR,-27.57,-0.72,-28.29
Matt O'Reilly,Bucknell,2017,SO,-6.15,-22.14,-28.29
Jachai Taylor,Murray State,2017,FR,-12.36,-15.94,-28.3
Maurice Taylor,Bethune-Cookman,2015,SR,-22.25,-6.05,-28.3
Christavious Gill,New Orleans,2017,SR,-1.77,-26.53,-28.3
Alex Mitola,Dartmouth,2013,FR,14.9,-43.21,-28.31
Kyre' Hamer,Campbell,2015,SO,-29.66,1.35,-28.31
Nate Garth,UC-Santa Barbara,2013,SR,-6.74,-21.57,-28.31
Zac Tillman,Monmouth,2015,SO,-29.12,0.81,-28.31
Leon Williams,Florida A&M,2017,SO,-17.91,-10.4,-28.31
Brice Jenkins,Jacksonville State,2011,FR,-22.54,-5.78,-28.32
Eric Lawton,Arkansas-Little Rock,2012,JR,-24.48,-3.84,-28.32
Jared White,Southeast Missouri State,2013,FR,-15.61,-12.71,-28.32
Jeff Smith,Chattanooga,2011,SR,-17.91,-10.41,-28.32
Justin James,Wyoming,2016,FR,-23.01,-5.31,-28.32
Tom Maayan,Seton Hall,2013,FR,-56.64,28.32,-28.32
Isaiah McCray,IPFW,2012,FR,-27.74,-0.6,-28.34
Nik Popovic,Boston College,2017,FR,-21.8,-6.54,-28.34
Cliff Ederain,Eastern Washington,2011,JR,-55.35,27,-28.35
Garvey Young,Quinnipiac,2013,SR,-16.12,-12.23,-28.35
Zavion Neely,Illinois-Chicago,2011,JR,-15.95,-12.4,-28.35
Jimmy Williams,North Florida,2012,SR,-35.46,7.09,-28.37
Kevin Cantinol,Florida Gulf Coast,2011,JR,-26.66,-1.72,-28.38
Paul Scotland,Bethune-Cookman,2012,JR,-10.58,-17.8,-28.38
Quin Cooper,Southeastern Louisiana,2012,SO,-16.17,-12.21,-28.38
Race Parsons,Southern Utah,2015,SO,1.46,-29.85,-28.39
Michael Messer,Southern Illinois-Edwardsville,2014,JR,-12.62,-15.78,-28.4
Ryan Pierson,Northeastern,2012,SO,-20.62,-7.78,-28.4
Kyre' Hamer,Campbell,2016,JR,-10.82,-17.59,-28.41
JT Gibson,Nebraska-Omaha,2017,FR,-9.91,-18.5,-28.41
Jaron Nash,Texas Tech,2012,SO,-25.73,-2.69,-28.42
Antonio Bivins,Massachusetts-Lowell,2014,SR,-7.29,-21.14,-28.43
Isaiah Ivey,Gardner-Webb,2015,JR,-14.22,-14.22,-28.44
Jordan Springer,Army,2011,SO,-39.5,11.06,-28.44
Tre Drye,Tulane,2014,JR,-33.46,5.02,-28.44
Felix Von Hofe,Eastern Washington,2014,FR,-4.31,-24.14,-28.45
Frank Okeke,New Hampshire,2015,JR,-21.95,-6.5,-28.45
Aleksej Rostov,Western Kentucky,2014,SO,-29.65,1.19,-28.46
Marcel Boyd,Howard,2015,SO,-56.92,28.46,-28.46
Kevin Brown,New Orleans,2015,JR,4.38,-32.85,-28.47
Emmanuel Nzekwesi,Oral Roberts,2017,FR,-19.41,-9.06,-28.47
Erik Buggs,Valparaiso,2011,SO,-48.42,19.94,-28.48
Matt Rum,William & Mary,2013,SR,-14.99,-13.49,-28.48
Miles Jackson-Cartwright,Pennsylvania,2011,FR,-6.33,-22.15,-28.48
Austin Ajukwa,Charlotte,2017,JR,-15.82,-12.66,-28.48
Chris Robinson,Sacred Heart,2015,FR,-13.99,-14.5,-28.49
Jordan Salley,Sacramento State,2014,SR,-4.62,-23.87,-28.49
Phil Greene,St. John's (NY),2013,SO,-7.6,-20.89,-28.49
Maleke Haynes,Pacific,2017,JR,-32.99,4.5,-28.49
Jonathan Lewis,Jackson State,2011,SO,-17.86,-10.64,-28.5
Noah Cummings,Grambling,2017,FR,-25.97,-2.54,-28.51
Glen Burns,Chicago State,2017,JR,-19.63,-8.88,-28.51
Kareem Nitoto,UC-Riverside,2011,JR,1.5,-30.02,-28.52
Worth Smith,Navy,2012,FR,-26.24,-2.28,-28.52
Zach Johnson,Florida Gulf Coast,2017,SO,-30.2,1.68,-28.52
Roberto Mantovani,Robert Morris,2017,JR,-34.03,5.51,-28.52
Aaseem Dixon,Northern Arizona,2015,SR,15.37,-43.9,-28.53
Alexis Moore,Southern California,2012,FR,-48.4,19.86,-28.54
Stefan Micovic,Maine,2014,SO,-23.37,-5.17,-28.54
Racine Talla,IPFW,2017,JR,-29.45,0.91,-28.54
Christian Jones,Nevada-Las Vegas,2017,SR,-41.51,12.97,-28.54
Adam Pegg,Stetson,2012,JR,13.53,-42.08,-28.55
Tre' Ivory,Austin Peay,2016,SO,-22.33,-6.22,-28.55
Stephen Edwards,Santa Clara,2015,FR,-22.03,-6.53,-28.56
Colton Bishop,Loyola (MD),2015,FR,-23.43,-5.14,-28.57
Elvar Fridriksson,Long Island University,2015,FR,-6.35,-22.22,-28.57
Luke Devlin,Albany (NY),2012,SO,2.2,-30.77,-28.57
Peter Simek,UC-Irvine,2011,SR,-28.03,-0.54,-28.57
Frank Snow,Southern,2015,SR,-43.3,14.72,-28.58
Jacob Parker,Stephen F. Austin,2012,FR,-34.93,6.35,-28.58
Lukas Jarrett,Lafayette,2017,FR,-46.68,18.1,-28.58
Josh Robinson,Austin Peay,2017,JR,62.91,-91.5,-28.59
Ryan Pierson,Vermont,2015,SR,-20.68,-7.92,-28.6
Cameron Craig,Southern Illinois-Edwardsville,2014,JR,-25.81,-2.8,-28.61
Josh Warren,Cornell,2017,FR,-30.47,1.85,-28.62
Dyami Starks,Bryant,2014,JR,45.79,-74.41,-28.62
Kyle Doyle,Georgia Southern,2015,SO,-43.22,14.6,-28.62
Le'Bryan Nash,Oklahoma State,2012,FR,-20.03,-8.59,-28.62
Kasheem Thomas,Cleveland State,2017,FR,-16.57,-12.05,-28.62
Nathan Laing,Central Florida,2017,JR,-41.23,12.6,-28.63
Bjorn Broman,Winthrop,2016,FR,-3.37,-25.26,-28.63
Kevin Degnan,Fairfield,2015,FR,-23.86,-4.77,-28.63
Danny Nieman,Coastal Carolina,2012,SO,-16.11,-12.53,-28.64
Nigel Snipes,Western Kentucky,2012,FR,-29.54,0.9,-28.64
Wil Peters,Tennessee State,2012,SR,-21.01,-7.64,-28.65
Brady Twombly,Northern Arizona,2016,FR,-14.12,-14.55,-28.67
Nick Mcfarlin,Eastern Illinois,2011,JR,-15.22,-13.45,-28.67
David Bottenberg,South Carolina State,2017,FR,-19.2,-9.47,-28.67
Stanley Davis,Morgan State,2017,FR,-31.64,2.97,-28.67
Eric Moeller,Florida Gulf Coast,2015,SO,-35.1,6.42,-28.68
Jason Holmes,Mississippi Valley State,2011,JR,-50.74,22.06,-28.68
Josh Ivory,Cleveland State,2013,FR,-21.06,-7.62,-28.68
Domas Rinksalis,Wofford,2012,SO,-26.33,-2.36,-28.69
Bryce White,Portland State,2016,JR,-12.76,-15.95,-28.71
Dante Holmes,North Carolina Central,2016,SR,8.45,-37.16,-28.71
Kavon Waller,Delaware State,2015,FR,-3.48,-25.23,-28.71
Marcus Keene,Youngstown State,2014,FR,-7.66,-21.05,-28.71
Karl Gamble,Middle Tennessee,2016,FR,-23.54,-5.18,-28.72
John Caleb Sanders,Liberty,2011,FR,-6.16,-22.57,-28.73
Andrew Drone,Rice,2015,SO,-35.94,7.19,-28.75
Gerard Coleman,Providence,2011,FR,-20.29,-8.46,-28.75
Kris Acox,Furman,2014,FR,-15.48,-13.27,-28.75
Thierno Niang,Milwaukee,2013,JR,-26.6,-2.15,-28.75
Malik Miller,Fairleigh Dickinson,2017,SO,-26.43,-2.33,-28.76
Aerris Smith,Wofford,2014,SR,-22.67,-6.1,-28.77
Ben Eaves,Rhode Island,2011,SR,-23.54,-5.23,-28.77
Jaryd Eustace,Miami (OH),2014,FR,-10.91,-17.86,-28.77
Jeremiah Davis,Ball State,2015,JR,-32.61,3.84,-28.77
Abdel Nader,Northern Illinois,2013,SO,-30.34,1.56,-28.78
Antonio Ootesey,Arkansas-Pine Bluff,2011,SR,-24.58,-4.22,-28.8
David Travers,Georgia State,2013,FR,-9.85,-18.95,-28.8
Jamal Johnson,Cal Poly,2011,FR,-28.17,-0.63,-28.8
James Loupos,Navy,2014,SR,-25.14,-3.66,-28.8
Nick Turner,Kennesaw State,2011,FR,-17.67,-11.13,-28.8
Tyler Loose,Northern Colorado,2017,JR,-30.69,1.89,-28.8
Tanner Plomb,Army,2015,JR,10.61,-39.42,-28.81
Carrington Ward,North Texas,2016,JR,-14.04,-14.78,-28.82
Kenny Demouchet,Jackson State,2013,SR,-22.94,-5.89,-28.83
Quinton Campbell,Southern Mississippi,2016,JR,-9.98,-18.85,-28.83
Enrique Mason,Texas-Rio Grande Valley,2012,SO,-26.44,-2.4,-28.84
Johnathan Gray,Cornell,2012,JR,-7.48,-21.36,-28.84
Mitchell Hill,Tennessee Tech,2013,SO,-13.49,-15.35,-28.84
Christopher Miller,Northern Arizona,2014,FR,-19.34,-9.51,-28.85
Cody Joyce,Houston Baptist,2013,FR,-28.86,0,-28.86
Jaleel Roberts,North Carolina-Asheville,2014,JR,-32.38,3.52,-28.86
Kwesi Abakah,Northeastern,2016,JR,-38.48,9.62,-28.86
Davante Drinkard,Southern Illinois,2011,FR,-32.83,3.96,-28.87
Sean O'Brien,Colgate,2015,FR,-23.26,-5.61,-28.87
Jacob Ivory,Middle Tennessee,2015,FR,-19.4,-9.48,-28.88
Kentrall Brooks,Marist,2015,SO,-33.44,4.56,-28.88
Zach Chionuma,Boston University,2012,FR,-20.52,-8.36,-28.88
Mikey Thompson,Boise State,2013,FR,-22.32,-6.57,-28.89
Sekou Harris,South Dakota,2015,JR,-20.71,-8.18,-28.89
Will Cook,Samford,2011,FR,-19.47,-9.42,-28.89
Bishop Daniels,Rutgers,2015,JR,-34.68,5.78,-28.9
Brandon Britt,William & Mary,2013,JR,30.42,-59.32,-28.9
Dewayne Bowden,Houston Baptist,2013,SO,-22.18,-6.72,-28.9
Daniel Camps,Northern Kentucky,2014,FR,-9.87,-19.04,-28.91
Jerron Wilbut,Cal State Northridge,2016,SO,-2.46,-26.45,-28.91
Josh Gray,Texas Tech,2013,FR,-24.57,-4.34,-28.91
Ryan Richardson,Weber State,2015,FR,-6.77,-22.14,-28.91
Zjori Bosha,Lamar,2016,SO,-19.28,-9.64,-28.92
Patrick Jackson,Kent State,2012,JR,-23.74,-5.19,-28.93
Dana Batt,Colgate,2016,FR,-28.31,-0.63,-28.94
Darell Combs,IUPUI,2016,JR,10.22,-39.17,-28.95
Devin Price,Marist,2012,JR,27.02,-55.97,-28.95
John Azzinaro,Bucknell,2015,SO,0,-28.95,-28.95
JoJo Fallas,Cornell,2016,JR,-8.27,-20.68,-28.95
Tristan Wilson,Long Beach State,2011,SR,-31.13,2.17,-28.96
Tyler Carter,Alcorn State,2017,FR,-20.65,-8.31,-28.96
Chris Williams,Central Connecticut State,2017,FR,-12.95,-16.02,-28.97
Brian Benson,New Hampshire,2012,SR,-30.36,1.38,-28.98
Chad Lang,Belmont,2014,JR,-18.06,-10.92,-28.98
